-55, -157, 110, 315
207, 8, 121, 315
239, 31, 121, 315
235, 28, 121, 315
221, 26, 121, 315
221, 28, 121, 309
222, 21, 121, 303
222, 23, 121, 303
226, 24, 114, 303
218, 24, 116, 303
219, 24, 116, 303
218, 27, 121, 297
224, 27, 123, 297
224, 27, 126, 297
225, 27, 129, 297
225, 18, 129, 297
224, 20, 129, 297
218, 24, 140, 291
222, 24, 140, 291
227, 24, 137, 291
227, 24, 137, 291
226, 24, 137, 291
226, 24, 137, 291
229, 27, 131, 285
224, 30, 125, 279
225, 30, 120, 279
227, 30, 111, 279
228, 30, 104, 279
225, 31, 104, 279
237, 31, 83, 279
241, 40, 75, 279
241, 38, 75, 279
238, 37, 88, 279
227, 37, 95, 279
226, 34, 95, 284
224, 33, 101, 284
228, 33, 103, 284
232, 33, 105, 284
234, 36, 105, 278
233, 36, 105, 278
238, 36, 105, 278
239, 36, 101, 278
245, 36, 99, 278
251, 27, 91, 278
248, 32, 87, 272
245, 33, 87, 272
246, 33, 87, 272
252, 33, 75, 272
240, 33, 75, 272
245, 33, 69, 272
237, 33, 78, 272
230, 33, 91, 272
226, 33, 91, 272
217, 36, 111, 267
211, 27, 118, 267
211, 31, 123, 262
211, 36, 121, 257
210, 34, 124, 262
214, 35, 124, 262
213, 35, 124, 262
220, 32, 124, 267
219, 24, 124, 267
221, 25, 119, 267
226, 26, 116, 267
229, 19, 116, 267
230, 20, 111, 267
230, 21, 109, 267
230, 22, 102, 266
225, 23, 98, 266
227, 23, 92, 266
222, 23, 92, 266
230, 23, 80, 266
219, 23, 82, 266
218, 23, 89, 266
217, 23, 98, 266
209, 23, 112, 266
206, 23, 112, 266
199, 23, 128, 266
198, 32, 131, 266
196, 30, 136, 266
197, 32, 141, 261
201, 32, 141, 261
204, 32, 141, 261
204, 32, 138, 261
214, 32, 138, 261
216, 34, 138, 256
219, 35, 138, 256
217, 35, 138, 256
221, 35, 138, 256
219, 35, 140, 256
218, 35, 143, 256
218, 35, 143, 256
224, 37, 140, 251
224, 35, 140, 256
225, 33, 140, 261
225, 25, 137, 261
228, 31, 132, 251
229, 32, 132, 251
233, 30, 124, 256
236, 29, 108, 256
